Model,VIN,Uph,Retail Date,MSRP,Wholesale date,Trade,Client order,Paints,Lot life,Defect
S450V,WDDUG6GB9KA458792,Black,3/29/2019,102265,12/13/2018,0,0,Black,106,1
GLC300C4,WDC0J4KB7KF569618,Red,3/29/2019,60935,12/13/2018,0,0,Black,106,1
GLC300W4,WDC0G4KBXKF612492,Black,3/29/2019,57060,3/20/2019,0,1,White,9,0
GLC300W4,WDC0G4KB7KV166291,Black,3/29/2019,49415,2/27/2019,0,0,Black,30,0
GLC300W4,WDC0G4KB4KV153031,Beige,3/29/2019,47415,11/30/2018,0,0,White,119,1
GLE350W4,4JGFB4KBXLA007803,Beige,3/29/2019,65270,2/26/2019,0,0,Grey,31,0
C63A,WDDWK8GB7KF843791,red,3/28/2019,89985,12/20/2018,0,0,Grey,98,1
GLC300W4,WDC0G4KB0KF598229,Beige,3/28/2019,47565,2/27/2019,0,0,White,29,0
E450A4,WDD1K6JB4KF100688,Brown,3/28/2019,81355,3/13/2019,0,1,Grey,15,0
GT63C4S,WDD7X8KB3KA001802,Red,3/28/2019,179450,3/7/2019,0,0,Grey,21,0
S63V4,WDDUG8JB6KA429285,Black,3/28/2019,177565,11/18/2018,0,0,White,130,1
C300A4,WDDWK8EB2KF830613,Beige,3/28/2019,63535,12/28/2018,0,0,Blue,90,0
C300W4,55SWF8EB7KU285851,Beige,3/28/2019,55005,9/26/2018,0,0,Red,183,1
GLC300W4,WDC0G4KB4KF605280,Beige,3/28/2019,49465,3/7/2019,0,0,Blue,21,0
E53A4,WDD1K6BB9KF090691,Black,3/28/2019,84315,12/28/2018,0,0,Black,90,0
GT63C4,WDD7X8JBXKA001541,Borwn,3/28/2019,162670,3/7/2019,0,0,White,21,0
GLC300W4,WDC0G4KB5KV163812,Beige,3/28/2019,47215,2/21/2019,0,0,White,35,0
GLE350W4,4JGFB4KB6LA013694,Beige,3/28/2019,59360,3/21/2019,1,0,White,7,0
C43W4,55SWF6EB7KU299091,Black,3/28/2019,62695,12/3/2018,0,0,White,115,1
C300W4,55SWF8EB7KU305855,Beige,3/27/2019,49895,12/21/2018,0,0,Silver,96,1
E450C4,WDD1J6JB3KF075849,Beige,3/27/2019,77000,9/11/2018,0,0,White,197,1
C43C4,WDDWJ6EB2JF760360,Black,3/27/2019,63140,6/19/2018,0,0,Black,281,1
SL550R,WDDJK7DA8KF054694,Black,3/20/2019,129980,9/28/2018,0,0,White,173,1
GLE350W4,4JGFB4KB6LA009659,Beige,3/20/2019,59360,3/18/2019,1,0,White,2,0
GLA250W4,WDCTG4GB4KU012889,Black,3/19/2019,40995,3/7/2019,0,0,Black,12,0
S450V4,WDDUG6EB4KA459674,Black,3/19/2019,110325,12/8/2018,0,0,Black,101,1
GLS450W4,4JGDF6EE8KB234932,Black,3/19/2019,91515,1/28/2019,0,0,Black,50,0
GLE350W4,4JGFB4KB7LA027765,Beige,3/19/2019,65650,3/12/2019,1,0,Silver,7,0
